Customer_ID;Order_Date;Order_Value;Discount_Used
CUST001;2025-07-24;21.76;0.0
CUST001;2025-11-02;104.18;0.0
CUST001;2025-05-16;116.71;0.0
CUST002;2025-09-27;224.8;0.0
CUST002;2025-11-03;153.45;19.17
CUST002;2025-07-08;88.61;0.0
CUST002;2025-12-15;67.52;0.0
CUST002;2025-07-12;209.12;0.0
CUST002;2025-03-16;194.91;17.37
CUST002;2025-07-24;130.0;23.86
CUST002;2025-04-02;82.04;0.0
CUST002;2025-07-03;209.67;0.0
CUST003;2025-07-03;169.8;12.21
CUST003;2025-09-06;209.56;33.44
CUST003;2025-03-17;163.96;46.71
CUST003;2025-12-15;190.61;9.85
CUST003;2025-03-13;215.04;23.64
CUST003;2025-01-21;148.05;0.0
CUST003;2025-10-24;25.08;29.02
CUST003;2025-12-22;46.8;0.0
CUST003;2025-11-10;197.55;27.67
CUST003;2025-08-19;147.93;39.32
CUST003;2025-12-16;185.57;6.55
CUST003;2025-08-05;215.4;33.63
CUST003;2025-12-11;104.64;0.0
CUST003;2025-09-03;240.93;34.98
CUST003;2025-10-01;129.34;0.0
CUST004;2025-11-24;49.92;0.0
CUST005;2025-11-30;191.53;0.0
CUST005;2025-10-04;60.98;36.01
CUST005;2025-07-20;105.22;0.0
CUST005;2025-03-25;71.81;12.39
CUST005;2025-06-29;43.74;47.07
CUST006;2025-11-20;59.66;0.0
CUST006;2025-01-25;54.05;29.66
CUST006;2025-08-01;197.52;0.0
CUST006;2025-06-24;102.17;12.52
CUST006;2025-10-16;87.17;49.75
CUST006;2025-01-25;178.21;22.97
CUST006;2025-10-18;180.45;0.0
CUST006;2025-10-29;33.1;13.56
CUST006;2025-03-03;246.06;0.0
CUST006;2025-09-15;95.08;13.71
CUST006;2025-07-23;43.76;0.0
CUST006;2025-02-13;239.61;21.86
CUST007;2025-11-21;51.92;0.0
CUST007;2025-12-14;91.61;39.41
CUST007;2025-07-23;174.2;0.0
CUST008;2025-07-08;236.7;48.43
CUST008;2025-08-05;235.18;25.08
CUST008;2025-06-19;34.92;0.0
CUST008;2025-07-27;90.35;0.0
CUST008;2025-09-07;224.5;24.55
CUST008;2025-07-06;129.57;0.0
CUST008;2025-04-29;38.86;34.42
CUST009;2025-07-28;136.97;0.0
CUST009;2025-08-12;197.6;38.48
CUST009;2025-12-23;156.81;0.0
CUST010;2025-10-29;81.86;0.0
CUST010;2025-11-17;219.18;0.0
CUST011;2025-12-11;89.63;0.0
CUST011;2025-07-16;101.94;0.0
CUST011;2025-12-11;58.64;0.0
CUST011;2025-04-22;24.93;34.01
CUST011;2025-08-07;98.74;25.88
CUST011;2025-04-19;237.06;0.0
CUST011;2025-01-14;41.7;0.0
CUST011;2025-10-24;230.52;0.0
CUST011;2025-01-24;190.53;0.0
CUST011;2025-08-21;111.62;15.06
CUST011;2025-10-19;39.36;23.46
CUST011;2025-04-15;201.59;31.43
CUST011;2025-03-27;87.87;15.78
CUST011;2025-03-03;211.75;12.98
CUST012;2025-11-26;121.44;0.0
CUST012;2025-07-16;183.8;0.0
CUST012;2025-02-04;137.03;0.0
CUST012;2025-03-15;188.22;38.87
CUST012;2025-06-10;129.94;6.41
CUST012;2025-05-01;59.77;48.14
CUST012;2025-05-06;168.87;12.35
CUST012;2025-02-05;108.49;0.0
CUST012;2025-10-29;92.42;0.0
CUST012;2025-10-17;32.42;0.0
CUST012;2025-11-15;206.19;0.0
CUST012;2025-05-29;23.03;0.0
CUST012;2025-08-20;247.8;0.0
CUST013;2025-03-08;227.31;0.0
CUST013;2025-10-01;22.43;0.0
CUST013;2025-06-07;233.16;0.0
CUST013;2025-03-13;121.0;24.85
CUST013;2025-10-15;23.95;34.3
CUST013;2025-06-10;181.38;48.78
CUST013;2025-10-13;114.81;0.0
CUST013;2025-08-12;95.01;31.94
CUST013;2025-10-23;157.36;0.0
CUST013;2025-06-16;126.49;0.0
CUST013;2025-04-15;94.86;12.17
CUST014;2025-03-24;27.23;0.0
CUST014;2025-11-07;178.21;49.66
CUST014;2025-07-20;197.7;25.22
CUST014;2025-05-05;158.9;22.41
CUST014;2025-12-12;24.18;16.29
