Customer_ID;Support_Date;Support_Type
1;2025-10-28;Sonstiges
1;2025-06-27;Sonstiges
1;2025-07-04;Frage
1;2025-04-17;Beschwerde
2;2025-07-13;Beschwerde
2;2025-08-11;Beschwerde
2;2025-01-15;Sonstiges
2;2025-02-07;Beschwerde
4;2025-11-19;Frage
4;2025-06-14;Frage
4;2025-05-04;Frage
5;2025-07-25;Beschwerde
5;2025-04-27;Beschwerde
6;2025-07-20;Sonstiges
6;2025-07-25;Sonstiges
7;2025-05-05;Sonstiges
7;2025-04-27;Sonstiges
7;2025-09-06;Sonstiges
8;2025-10-04;Beschwerde
8;2025-11-05;Beschwerde
9;2025-01-21;Beschwerde
10;2025-11-03;Sonstiges
10;2025-08-19;Sonstiges
11;2025-01-24;Sonstiges
11;2025-04-16;Frage
11;2025-02-14;Sonstiges
14;2025-02-27;Sonstiges
14;2025-06-17;Beschwerde
14;2025-12-26;Beschwerde
15;2025-03-09;Frage
16;2025-12-03;Beschwerde
16;2025-01-29;Beschwerde
17;2025-06-19;Beschwerde
17;2025-10-16;Sonstiges
18;2025-10-18;Frage
18;2025-03-08;Beschwerde
18;2025-08-28;Sonstiges
19;2025-07-26;Beschwerde
19;2025-11-19;Sonstiges
20;2025-06-27;Frage
20;2025-06-24;Frage
20;2025-04-19;Beschwerde
